,CC_As,Nombres_As,Apellidos_As,Correo_As,Genero_As,Telefono_As,Fecha_Naci_As,Edad_As,Estado_As,Estado_Gratui_As,Estado_Civil_As,Id_Us
0,445006337,Iván Ramón,Briones Palau,iván.briones@hotmail.com,M,0908806660,2004-01-14,18,Inactivo,Sin gratuidad,Casado/a,711f0314-74f4-11ed-8667-0242ac1c000c
1,1773488835,Marcela Macarena,Vall Aguiló,marcela.vall@hotmail.com,F,0971600873,1992-01-02,30,Activo,Gratuidad,Soltero/a,711f056c-74f4-11ed-8667-0242ac1c000c
2,916661348,Jessica Yaiza,Torres Jove,jessica.torres@hotmail.com,F,0909881437,1999-08-20,23,Activo,Sin gratuidad,Casado/a,711f05f8-74f4-11ed-8667-0242ac1c000c
3,221233654,Marcelo Juan Francisco,Belda Alemany,marcelo.belda@hotmail.com,M,0909690990,2005-05-18,17,Activo,Perdida gratuidad temporal,Casado/a,711f065c-74f4-11ed-8667-0242ac1c000c
4,285946442,Conrado Anastasio,Llano Rius,conrado.llano@hotmail.com,M,0965415304,1990-09-27,32,Inactivo,Perdida gratuidad temporal,Viudo/a,711f06b6-74f4-11ed-8667-0242ac1c000c
5,2467225654,Aureliano Nacio,Roldan Goñi,aureliano.roldan@hotmail.com,M,0923779724,1994-12-24,27,Inactivo,Perdida gratuidad temporal,Casado/a,711f0706-74f4-11ed-8667-0242ac1c000c
6,2402181943,Oriana Juana,Roldan Pascual,oriana.roldan@hotmail.com,F,0942661153,1996-11-06,26,Activo,Gratuidad,Soltero/a,711f0760-74f4-11ed-8667-0242ac1c000c
7,1679675850,Domitila Nilda,Vives Teruel,domitila.vives@hotmail.com,F,0902484081,1992-12-31,29,Activo,Gratuidad,Casado/a,711f07b0-74f4-11ed-8667-0242ac1c000c
8,2441725332,Roque Virgilio,Galindo Barberá,roque.galindo@hotmail.com,M,0979091066,2006-06-18,16,Activo,Gratuidad,Viudo/a,711f0814-74f4-11ed-8667-0242ac1c000c
9,620677692,Esperanza Teodora,Malo Villar,esperanza.malo@hotmail.com,F,0904860723,1986-06-10,36,Activo,Sin gratuidad,Casado/a,711f086e-74f4-11ed-8667-0242ac1c000c
10,853805556,Rosendo Jose,Vera Valero,rosendo.vera@hotmail.com,M,0979077842,1987-04-20,35,Activo,Gratuidad,Union Libre,711f08b4-74f4-11ed-8667-0242ac1c000c
11,373771723,Inocencio Aristides,Pujol Juliá,inocencio.pujol@hotmail.com,M,0935838974,1985-08-19,37,Inactivo,Gratuidad,Union Libre,711f0904-74f4-11ed-8667-0242ac1c000c
12,2487454822,Gloria Pacífica,Maestre Anguita,gloria.maestre@hotmail.com,F,0981488365,1980-06-20,42,Activo,Sin gratuidad,Viudo/a,711f0954-74f4-11ed-8667-0242ac1c000c
